21353,26,,,,"11/15/16 9:00,21353,26"
21755,27,,,,"11/15/16 9:01,21755,27"
23393,26,,,,"11/15/16 9:02,23393,26"
22416,25,,,,"11/15/16 9:03,22416,25"
1982,26,,,,"11/15/16 9:04,1982,26"
21669,26,,,,"11/15/16 9:05,21669,26"
19145,27,,,,"11/15/16 9:06,19145,27"
10847,27,,,,"11/15/16 9:07,10847,27"
21171,26,,,,"11/15/16 9:08,21171,28"
17060,30,,,,"11/15/16 9:09,17060,30"
11994,26,,,,"11/15/16 9:10,11994,29"
10044,28,,,,"11/15/16 9:11,10044,28"
23707,26,,,,"11/15/16 9:12,23707,26"
22173,26,,,,"11/15/16 9:13,22173,26"
19371,26,,,,"11/15/16 9:14,19371,27"
19948,27,,,,"11/15/16 9:15,19948,26"
16466,26,,,,"11/15/16 9:16,16466,26"
1920,26,,,,"11/15/16 9:17,1920,25"
16206,26,,,,"11/15/16 9:18,16206,24"
19825,30,,,,"11/15/16 9:19,19825,25"
18400,31,,,,"11/15/16 9:20,18400,25"
16072,32,,,,"11/15/16 9:21,16072,25"
21063,30,,,,"11/15/16 9:22,21063,26"
15154,29,,,,"11/15/16 9:23,15154,25"
16755,31,,,,"11/15/16 9:24,16755,25"
18536,30,,,,"11/15/16 9:25,18536,25"
17746,30,,,,"11/15/16 9:26,17742,27"
13540,31,,,,"11/15/16 9:27,13540,27"
2339,29,,,,"11/15/16 9:28,2339,26"
20448,28,,,,"11/15/16 9:29,20448,26"
20800,27,,,,"11/15/16 9:30,20800,26"
19524,30,,,,"11/15/16 9:31,19524,26"
23700,32,,,,"11/15/16 9:32,23700,26"
20372,31,,,,"11/15/16 9:33,20372,27"
23195,33,,,,"11/15/16 9:34,23195,28"
20622,28,,,,"11/15/16 9:35,20622,28"
22615,29,,,,"11/15/16 9:36,22615,26"
15884,29,,,,"11/15/16 9:37,15884,26"
21088,30,,,,"11/15/16 9:38,21088,26"
1703,30,,,,"11/15/16 9:39,1703,27"
14951,30,,,,"11/15/16 9:40,14951,28"
5859,26,,,,"11/15/16 9:41,5859,28"
2364,27,,,,"11/15/16 9:42,2364,28"
20251,29,,,,"11/15/16 9:43,20251,28"
16915,30,,,,"11/15/16 9:44,16915,29"
16755,33,,,,"11/15/16 9:45,16755,29"
1869,30,,,,"11/15/16 9:46,1869,27"
19350,30,,,,"11/15/16 9:47,19350,28"
16290,30,,,,"11/15/16 9:48,16290,29"
16292,30,,,,"11/15/16 9:49,16292,29"
16291,"	6.9",,,,
19130,"	6.9",,,,
21463,"	6.9",,,,
14736,"	6.9",,,,
15901,"	6.9",,,,
14820,"	6.9",,,,
14974,"	6.9",,,,
16009,"	6.9",,,,
"15549	6.9",,,,,
"14195	6.9",,,,,
"20483	6.9",,,,,
"17677	6.9",,,,,
"17982	6.9",,,,,
"17589	6.9",,,,,
"18477	6.9",,,,,
"15160	6.9",,,,,
"14651	6.9",,,,,
"13518	6.9",,,,,
"14131	6.9",,,,,
"15089	6.9",,,,,
"15248	6.9",,,,,
"16285	6.9",,,,,
"15527	6.9",,,,,
"15330	6.9",,,,,
"15089	6.9",,,,,
"14536	6.9",,,,,
"15097	6.9",,,,,
"13648	6.9",,,,,
"13718	6.9",,,,,
"13715	6.9",,,,,
"12881	6.9",,,,,
"15176	6.9",,,,,
"18841	6.9",,,,,
"12023	6.9",,,,,
"16064	6.9",,,,,
"16313	6.9",,,,,
"15845	6.9",,,,,
"20077	6.9",,,,,
"23444	6.9",,,,,
"21211	6.9",,,,,
"9754	6.9",,,,,
"15599	6.9",,,,,
"15592	6.9",,,,,
"15614	6.9",,,,,
"16334	6.9",,,,,
"16138	6.9",,,,,
"16670	6.9",,,,,
"14360	6.9",,,,,
"15987	6.9",,,,,
"15987	6.9",,,,,
"15987	6.9",,,,,
"16052	6.9",,,,,
"15266	6.9",,,,,
"17356	6.9",,,,,
"16065	6.9",,,,,
"15690	6.9",,,,,
"13146	6.9",,,,,
"16226	6.9",,,,,
"17212	6.9",,,,,
"16620	6.9",,,,,
"15024	6.9",,,,,
"15314	6.9",,,,,
"15067	6.9",,,,,
"13782	6.9",,,,,
"13789	6.9",,,,,
"13785	6.9",,,,,
"13783	6.9",,,,,
"13955	6.9",,,,,
"14912	6.9",,,,,
"15484	6.9",,,,,
"19212	6.9",,,,,
"19131	6.9",,,,,
"20230	6.9",,,,,
"20230	6.9",,,,,
"21198	6.9",,,,,
"14182	6.9",,,,,
"14186	6.9",,,,,
"15287	6.9",,,,,
"15264	6.9",,,,,
"15656	6.9",,,,,
"15547	6.9",,,,,
"15547	6.9",,,,,
"15603	6.9",,,,,
"15610	6.9",,,,,
"15892	6.9",,,,,
"16226	6.9",,,,,
"15225	6.9",,,,,
"10024	6.9",,,,,
"12080	6.9",,,,,
"15270	2.1",,,,,
"15791	2.1",,,,,
"15057	2.1",,,,,
"16706	2.1",,,,,
"17403	2.1",,,,,
"14135	2.1",,,,,
"11454	2.1",,,,,
"15592	2.1",,,,,
"14852	2.1",,,,,
"14987	2.1",,,,,
"16051	2.1",,,,,
"13540	2.1",,,,,
"13541	2.1",,,,,
"13803	2.1",,,,,
"13803	2.1",,,,,
"14068	2.1",,,,,
"20081	2.1",,,,,
"21109	2.1",,,,,
"17530	2.1",,,,,
"18301	2.1",,,,,
"17611	2.1",,,,,
"1279	2.1",,,,,
"15713	2.1",,,,,
"14803	2.1",,,,,
"12135	2.1",,,,,
"15811	2.1",,,,,
"18536	2.1",,,,,
"15371	2.1",,,,,
"15220	2.1",,,,,
"14848	2.1",,,,,
"14951	2.1",,,,,
"15086	2.1",,,,,
"15177	2.1",,,,,
"15197	2.1",,,,,
"15198	2.1",,,,,
"15153	2.1",,,,,
"15154	2.1",,,,,
"15306	2.1",,,,,
"16029	2.1",,,,,
"15659	2.1",,,,,
"12846	2.1",,,,,
"12852	2.1",,,,,
"15570	2.1",,,,,
"16098	2.1",,,,,
"16074	2.1",,,,,
"16138	2.1",,,,,
"16203	2.1",,,,,
"19904	2.1",,,,,
"20691	2.1",,,,,
"14681	2.1",,,,,
"17874	2.1",,,,,
"15637	2.1",,,,,
"15658	2.1",,,,,
"15702	2.1",,,,,
"15698	2.1",,,,,
"14149	2.1",,,,,
"14204	2.1",,,,,
"15111	2.1",,,,,
"14868	2.1",,,,,
"15111	2.1",,,,,
"15876	1.9",,,,,
"21064	1.9",,,,,
"13267	1.9",,,,,
"16054	1.9",,,,,
"16377	1.9",,,,,
"15307	1.9",,,,,
"12601	1.9",,,,,
"18593	1.9",,,,,
"17437	1.9",,,,,
"13343	1.9",,,,,
"19942	1.9",,,,,
"4132	1.9",,,,,
"16122	1.9",,,,,
"15101	1.9",,,,,
"14847	1.9",,,,,
"16214	1.9",,,,,
"13518	1.9",,,,,
"21921	1.9",,,,,
"17016	1.9",,,,,
"15654	1.9",,,,,
"16333	1.9",,,,,
"14980	1.9",,,,,
"22219	1.9",,,,,
"16073	1.9",,,,,
"16117	1.9",,,,,
"21409	1.9",,,,,
"13737	1.9",,,,,
"17326	1.9",,,,,
"15067	1.9",,,,,
"16510	1.9",,,,,
"16027	1.9",,,,,
"16685	1.9",,,,,
"15768	1.9",,,,,
"15527	1.9",,,,,
"19834	1.9",,,,,
"16053	1.9",,,,,
"14025	1.9",,,,,
"14632	1.9",,,,,
"15469	1.9",,,,,
"15418	1.9",,,,,
"16074	1.9",,,,,
