2016-11-12 12:2:51,18582
2016-11-12 12:3:51,10743
2016-11-12 12:4:51,1964
2016-11-12 12:5:51,20059
2016-11-12 12:6:51,22420
2016-11-12 12:7:51,21279
2016-11-12 12:8:52,21380
2016-11-12 12:9:52,2154
2016-11-12 12:10:52,3646
2016-11-12 12:11:52,2316
2016-11-12 12:12:52,4526
2016-11-12 12:13:52,5303
2016-11-12 12:14:52,3130
2016-11-12 12:15:52,2195
2016-11-12 12:16:53,4249
2016-11-12 12:17:53,3128
2016-11-12 12:18:53,1326
2016-11-12 12:19:53,6622
2016-11-12 12:20:53,1789
2016-11-12 12:21:53,3524
2016-11-12 12:22:53,4900
2016-11-12 12:23:53,3135
2016-11-12 12:24:54,1867
2016-11-12 12:25:54,4409
2016-11-12 12:26:54,6175
2016-11-12 12:27:54,2924
2016-11-12 12:28:54,3275
2016-11-12 12:29:54,2791
2016-11-12 12:30:54,2268
2016-11-12 12:31:54,1724
2016-11-12 12:32:55,5278
2016-11-12 12:33:55,5336
2016-11-12 12:34:55,6412
2016-11-12 12:35:55,4832
2016-11-12 12:36:55,1622
2016-11-12 12:37:55,1820
2016-11-12 12:38:55,3269
2016-11-12 12:39:56,7588
2016-11-12 12:40:56,1325
2016-11-12 12:41:56,20343
2016-11-12 12:42:56,20749
2016-11-12 12:43:56,6555
2016-11-12 12:44:56,6752
2016-11-12 12:45:56,5218
2016-11-12 12:46:56,4198
2016-11-12 12:47:57,3819
2016-11-12 12:48:57,7215
2016-11-12 12:49:57,4297
2016-11-12 12:50:57,4771
2016-11-12 12:51:57,6853
2016-11-12 12:52:57,6704
2016-11-12 12:53:57,7783
2016-11-12 12:54:57,4752
2016-11-12 12:55:58,9814
2016-11-12 12:56:58,3378
2016-11-12 12:57:58,6484
2016-11-12 12:58:58,4392
2016-11-12 12:59:58,3011
2016-11-12 13:0:58,1863
2016-11-12 13:1:58,6679
2016-11-12 13:2:59,2278
2016-11-12 13:3:59,2199
2016-11-12 13:4:59,8027
2016-11-12 13:5:59,2439
2016-11-12 13:6:59,3078
2016-11-12 13:7:59,3077
2016-11-12 13:8:59,7304
2016-11-12 13:9:59,8568
2016-11-12 13:11:0,4881
2016-11-12 13:12:0,5859
2016-11-12 13:13:0,2482
2016-11-12 13:14:0,6588
2016-11-12 13:15:0,7172
2016-11-12 13:16:0,9328
2016-11-12 13:17:0,9940
2016-11-12 13:18:1,2681
2016-11-12 13:19:1,6791
2016-11-12 13:20:1,5087
2016-11-12 13:21:1,8242
2016-11-12 13:22:1,6986
2016-11-12 13:23:1,3343
2016-11-12 13:24:1,12760
2016-11-12 13:25:1,5074
2016-11-12 13:26:2,1410
2016-11-12 13:27:2,4427
2016-11-12 13:28:2,3000
2016-11-12 13:29:2,6409
2016-11-12 13:30:2,7280
2016-11-12 13:31:2,2835
2016-11-12 13:32:2,6946
2016-11-12 13:33:2,22466
2016-11-12 13:34:3,5108
2016-11-12 13:35:3,9629
2016-11-12 13:36:3,7226
2016-11-12 13:37:3,3230
2016-11-12 13:38:3,5862
2016-11-12 13:39:3,6454
2016-11-12 13:40:3,3375
2016-11-12 13:41:4,2964
2016-11-12 13:42:4,2968
2016-11-12 13:43:4,3292
2016-11-12 13:44:4,3302
2016-11-12 13:45:4,21825
2016-11-12 13:46:4,4342
2016-11-12 13:47:4,8069
2016-11-12 13:48:4,9087
2016-11-12 13:49:5,5671
2016-11-12 13:50:5,2914
2016-11-12 13:51:5,2667
2016-11-12 13:52:5,4628
2016-11-12 13:53:5,3334
2016-11-12 13:54:5,6121
2016-11-12 13:55:5,7332
2016-11-12 13:56:5,2669
2016-11-12 13:57:6,4681
2016-11-12 13:58:6,7361
2016-11-12 13:59:6,6477
2016-11-12 14:0:6,2711
2016-11-12 14:1:6,8781
2016-11-12 14:2:6,5525
2016-11-12 14:3:6,5350
2016-11-12 14:4:6,4449
2016-11-12 14:5:7,4057
2016-11-12 14:6:7,4485
2016-11-12 14:7:7,6015
2016-11-12 14:8:7,1373
2016-11-12 14:9:7,5432
2016-11-12 14:10:7,8538
2016-11-12 14:11:7,10384
2016-11-12 14:12:7,5373
2016-11-12 14:13:8,2561
2016-11-12 14:14:8,6825
2016-11-12 14:15:8,8479
2016-11-12 14:16:8,4296
2016-11-12 14:17:8,5008
2016-11-12 14:18:8,4420
2016-11-12 14:19:8,6262
2016-11-12 14:20:9,5789
2016-11-12 14:21:9,5212
2016-11-12 14:22:9,13616
2016-11-12 14:23:9,2645
2016-11-12 14:24:9,8706
2016-11-12 14:25:9,5615
2016-11-12 14:26:9,7004
2016-11-12 14:27:9,2828
2016-11-12 14:28:10,8510
2016-11-12 14:29:10,4743
2016-11-12 14:30:10,5174
2016-11-12 14:31:10,4912
2016-11-12 14:32:10,5903
2016-11-12 14:33:10,2325
2016-11-12 14:34:10,9333
2016-11-12 14:35:10,7413
2016-11-12 14:36:11,8989
2016-11-12 14:37:11,9947
2016-11-12 14:38:11,4042
2016-11-12 14:39:11,5505
2016-11-12 14:40:11,3241
2016-11-12 14:41:11,10828
2016-11-12 14:42:11,10493
2016-11-12 14:43:11,12582
2016-11-12 14:44:12,5679
2016-11-12 14:45:12,22493
2016-11-12 14:46:12,4321
2016-11-12 14:47:12,3232
2016-11-12 14:48:12,7572
2016-11-12 14:49:12,3166
2016-11-12 14:50:12,7062
2016-11-12 14:51:13,10621
2016-11-12 14:52:13,15047
2016-11-12 14:53:13,9996
2016-11-12 14:54:13,5111
2016-11-12 14:55:13,3939
2016-11-12 14:56:13,7112
2016-11-12 14:57:13,7005
2016-11-12 14:58:14,4842
2016-11-12 14:59:14,3866
2016-11-12 15:0:14,6459
2016-11-12 15:1:14,8744
2016-11-12 15:2:14,20321
2016-11-12 15:3:14,10915
2016-11-12 15:4:14,12752
2016-11-12 15:5:14,5802
2016-11-12 15:6:15,21648
2016-11-12 15:7:15,13825
2016-11-12 15:8:15,7227
2016-11-12 15:9:15,12283
2016-11-12 15:10:15,16986
2016-11-12 15:11:15,10685
2016-11-12 15:12:15,5226
2016-11-12 15:13:16,5663
2016-11-12 15:14:16,13121
2016-11-12 15:15:16,5967
2016-11-12 15:16:16,6519
2016-11-12 15:17:16,3483
2016-11-12 15:18:16,9688
2016-11-12 15:19:16,4105
2016-11-12 15:20:16,8062
2016-11-12 15:21:17,11653
2016-11-12 15:22:17,5689
2016-11-12 15:23:17,11400
2016-11-12 15:24:17,5491
2016-11-12 15:25:17,6481
2016-11-12 15:26:17,9492
2016-11-12 15:27:17,2883
2016-11-12 15:28:18,7791
2016-11-12 15:29:18,8391
2016-11-12 15:30:18,3500
2016-11-12 15:31:18,10555
2016-11-12 15:32:18,9945
2016-11-12 15:33:18,16054
2016-11-12 15:34:18,13031
2016-11-12 15:35:18,4149
2016-11-12 15:36:19,3410
2016-11-12 15:37:19,9939
2016-11-12 15:38:19,11279
2016-11-12 15:39:19,3169
2016-11-12 15:40:19,10864
2016-11-12 15:41:19,2703
2016-11-12 15:42:19,17318
2016-11-12 15:43:20,2691
2016-11-12 15:44:20,5327
2016-11-12 15:45:20,10140
2016-11-12 15:46:20,12999
2016-11-12 15:47:20,9373
2016-11-12 15:48:20,5210
2016-11-12 15:49:20,5166
2016-11-12 15:50:21,7112
2016-11-12 15:51:21,21885
2016-11-12 15:52:21,9762
2016-11-12 15:53:21,11806
2016-11-12 15:54:21,16826
2016-11-12 15:55:21,17418
2016-11-12 15:56:21,14686
2016-11-12 15:57:21,14211
2016-11-12 15:58:22,3916
2016-11-12 15:59:22,15311
2016-11-12 16:0:22,10510
2016-11-12 16:1:22,18399
2016-11-12 16:2:22,13797
2016-11-12 16:3:22,14379
2016-11-12 16:4:22,15644
2016-11-12 16:5:23,22278
2016-11-12 16:6:23,13272
2016-11-12 16:7:23,10607
2016-11-12 16:8:23,14112
2016-11-12 16:9:23,12914
2016-11-12 16:10:23,15503
2016-11-12 16:11:23,14319
2016-11-12 16:12:23,13985
2016-11-12 16:13:24,14572
2016-11-12 16:14:24,14045
2016-11-12 16:15:24,12572
2016-11-12 16:16:24,15520
2016-11-12 16:17:24,12755
2016-11-12 16:18:24,16356
2016-11-12 16:19:24,14755
2016-11-12 16:20:25,13314
2016-11-12 16:21:25,16096
2016-11-12 16:22:25,14879
2016-11-12 16:23:25,16022
2016-11-12 16:24:25,12999
2016-11-12 16:25:25,13944
2016-11-12 16:26:25,14651
2016-11-12 16:27:25,11243
2016-11-12 16:28:26,13326
2016-11-12 16:29:26,12730
2016-11-12 16:30:26,17083
2016-11-12 16:31:26,10874
2016-11-12 16:32:26,14733
2016-11-12 16:33:26,13193
2016-11-12 16:34:26,14950
2016-11-12 16:35:27,10312
2016-11-12 16:36:27,13629
2016-11-12 16:37:27,3466
2016-11-12 16:38:27,17069
2016-11-12 16:39:27,15541
2016-11-12 16:40:27,19900
2016-11-12 16:41:27,14322
2016-11-12 16:42:28,14599
2016-11-12 16:43:28,15087
2016-11-12 16:44:28,16291
2016-11-12 16:45:28,15396
2016-11-12 16:46:28,14899
2016-11-12 16:47:28,13731
2016-11-12 16:48:28,13459
2016-11-12 16:49:28,12622
2016-11-12 16:50:29,15506
2016-11-12 16:51:29,12359
2016-11-12 16:52:29,14054
2016-11-12 16:53:29,14020
2016-11-12 16:54:29,13541
2016-11-12 16:55:29,13588
2016-11-12 16:56:29,11794
2016-11-12 16:57:30,14861
2016-11-12 16:58:30,15765
2016-11-12 16:59:30,10176
2016-11-12 17:0:30,16169
2016-11-12 17:1:30,15707
2016-11-12 17:2:30,14860
2016-11-12 17:3:30,10807
2016-11-12 17:4:30,15148
2016-11-12 17:5:31,14095
2016-11-12 17:6:31,14107
2016-11-12 17:7:31,9597
2016-11-12 17:8:31,12628
2016-11-12 17:9:31,12827
2016-11-12 17:10:31,13665
2016-11-12 17:11:31,15876
2016-11-12 17:12:32,16042
2016-11-12 17:13:32,17539
2016-11-12 17:14:32,8635
2016-11-12 17:15:32,8644
2016-11-12 17:16:32,15136
2016-11-12 17:17:32,15171
2016-11-12 17:18:32,16731
2016-11-12 17:19:33,12545
2016-11-12 17:20:33,11891
2016-11-12 17:21:33,11870
2016-11-12 17:22:33,11954
2016-11-12 17:23:33,11954
